customer_id,account_id,account_type,account_open_date,account_status,gender,age,state,pincode,customer_segment,employment_status,employer_name,annual_income_inr,account_balance_inr,num_products_held,kyc_status,nominee_added,mobile_banking_enabled,net_banking_enabled,credit_card_linked,demat_account,branch_name,relationship_manager_id,last_login_days_ago,is_dormant,churn_flag,fraud_flag,loan_type,loan_amount_inr,loan_tenure_months,outstanding_principal_inr,emi_amount_inr,days_past_due,is_npa,penalty_amount_inr,credit_score,credit_bureau,risk_rating,savings_interest_rate_pct,fd_interest_rate_pct,overdraft_limit_inr,monthly_interest_income_inr,monthly_service_charges_inr,num_transactions_last_month,avg_transaction_value_inr,last_transaction_date,last_transaction_type,last_transaction_channel,last_transaction_amount_inr,transaction_currency
CUST100012,ACC900012,Fixed Deposit,27-09-2021,Frozen,Other,72,,243139,HNI,,,1732175.54,1899884.82,7,Pending,N,,Y,N,Y,,RM18,519,1,0,0,Education Loan,467233.76,120,370755.33,9344.68,180,1,1446.98,355,EQUIFAX,High,,5.9,,13201.89,1351.47,63,61146.73,25-03-2021,Penalty,IMPS,,INR
CUST100013,ACC900013,Savings,04-03-2021,Closed,F,55,Rajasthan,414012,Corporate,Salaried,Employer_121,4343743.7,657045.54,7,Pending,N,Y,,,Y,Pune FC Road,RM3,300,0,0,0,Auto Loan,4240790.47,120,1208221.01,84815.81,120,1,64510.34,690,EXPERIAN,High,6.76,,,12646.3,649.75,4,41772.09,09-12-2022,Interest,Net Banking,,USD
CUST100014,ACC900014,Current,31-10-2022,Inactive,F,44,Karnataka,134985,SME,,,-448031.5,1290785.62,,Verified,,Y,,,Y,Bangalore MG Road,,302,0,0,1,Personal Loan,1194483.96,12,1010201.48,23889.68,180,1,3885.41,752,EQUIFAX,High,,,,14123.12,1757.13,54,38485.98,03-06-2023,Debit,Net Banking,186850.4,INR
CUST100015,ACC900015,Fixed Deposit,21-12-2019,Frozen,F,52,Delhi,663658,Corporate,Business Owner,,2829215.26,513378.1,6,Rejected,Y,Y,N,N,Y,Delhi North,RM25,713,1,0,0,,,,,,30,0,3240.9,646,,,,7.7,,7440.76,665.7,18,72143.1,01-04-2024,Credit,NEFT,,INR
CUST100016,ACC900016,Recurring Deposit,25-09-2019,Active,,71,,573962,HNI,Business Owner,,3078118.12,1373080.26,3,Verified,,Y,N,N,N,,RM40,674,1,0,0,Personal Loan,4364032.77,84,691958.38,87280.66,120,1,1546.4,517,CIBIL,Medium,,,,,28.94,31,65078.73,20-03-2024,Interest,Branch,106201.6,USD
CUST100017,ACC900017,Fixed Deposit,08-05-2018,Closed,M,72,Tamil Nadu,335137,Retail,Salaried,Employer_22,2282102.87,871617.03,6,Verified,N,Y,,,Y,Ahmedabad SG Highway,,376,0,1,0,Personal Loan,380119.12,84,157778.76,7602.38,180,1,3834.35,401,EXPERIAN,Very High,,7.23,,8687.77,248.5,113,32885.88,25-01-2019,EMI,NEFT,163421.57,INR
CUST100018,ACC900018,Current,09-06-2024,Closed,F,72,Maharashtra,321494,SME,,,3175628.65,59924.14,7,Rejected,Y,Y,N,,Y,Bangalore MG Road,,122,,1,1,Auto Loan,1723794.78,120,287281.36,34475.9,0,0,0,520,,Very High,,,,3260.7,223.85,20,26175.21,08-09-2024,Credit,Net Banking,74368.2,INR
CUST100019,ACC900019,Fixed Deposit,30-10-2022,Inactive,F,52,Telangana,757685,Retail,Salaried,Employer_131,2670609.08,137995.96,6,Pending,N,,,N,,Hyderabad Banjara Hills,,480,0,,0,Home Loan,-523822.86,120,-305155.71,-10476.46,0,0,0,632,,,,7.91,,11977.88,295.89,117,7047.11,09-08-2024,Interest,RTGS,40384.54,USD
CUST100020,ACC900020,Current,30-01-2021,Active,M,50,Gujarat,858889,HNI,Student,,1601893.26,-741411.91,8,Verified,Y,N,Y,,,Hyderabad Banjara Hills,RM22,144,,1,0,,,,,,0,0,0,819,,Low,,,,7800.98,1886.26,101,36636.71,09-08-2021,Interest,IMPS,-10677.94,INR
CUST100021,ACC900021,Current,25-05-2022,Closed,F,23,Karnataka,922471,Corporate,,,2824708.46,267470.67,7,Verified,,N,Y,,Y,Jaipur Vaishali,RM13,584,1,1,0,,,,,,180,1,2000.37,733,CIBIL,,,,,2585.73,1608,23,26624.17,18-07-2019,Credit,Mobile App,148080.25,INR
CUST100022,ACC900022,Fixed Deposit,28-02-2021,,,44,Rajasthan,977330,Retail,Self-Employed,,3968529.42,519101.54,8,Pending,Y,Y,Y,N,,Hyderabad Banjara Hills,,647,0,1,0,Business Loan,4682190.34,24,1566315,93643.81,180,1,4665.05,747,EXPERIAN,High,,8.04,,7377.48,36.68,113,73680.74,12-03-2022,EMI,Branch,473801.72,INR
CUST100023,ACC900023,Checking,08-04-2021,Frozen,,,Rajasthan,505426,HNI,,,1361537.49,164262.8,8,Rejected,N,Y,N,N,N,Ahmedabad SG Highway,RM12,376,0,1,,Business Loan,2745296.73,12,1201740.19,54905.93,60,0,3712.58,316,CIBIL,Medium,,,3685177.35,725.51,1929.44,93,60731.35,01-07-2018,Interest,NEFT,174934.48,INR
CUST100024,ACC900024,Savings,05-10-2022,Frozen,M,70,Rajasthan,242321,Retail,Retired,,2691220.12,1335574.64,6,Expired,,N,Y,,N,Hyderabad Banjara Hills,,730,0,1,0,Education Loan,870266.04,84,549405.43,17405.32,0,0,0,715,EXPERIAN,,4.07,,,4050.87,387.48,18,-1224.74,09-02-2022,EMI,NEFT,9846397.51,GBP
CUST100025,ACC900025,Savings,02-08-2021,,F,22,Tamil Nadu,744274,,,,4571029.1,1909156.69,3,,N,Y,,,N,Chennai East,,606,0,0,,Business Loan,1193875.5,48,,23877.51,180,1,1129.48,778,CIBIL,Medium,5.01,,,13059.95,634.69,50,43513.41,30-10-2018,Transfer,Mobile App,326990.25,EUR
CUST100026,ACC900026,Checking,14-10-2024,,Other,54,Telangana,267082,,Business Owner,,,92102.57,6,Pending,Y,Y,N,,,Ahmedabad SG Highway,,315,0,,0,,,,,,0,0,0,726,,Medium,,,481616.55,8440.21,513.38,69,50112.26,22-07-2022,EMI,UPI,1491421.86,GBP
CUST100027,ACC900027,Savings,04-01-2019,Closed,,33,Rajasthan,414353,HNI,Self-Employed,,88838915.94,1215859.11,1,Expired,,N,,,,Jaipur Vaishali,RM2,112,,1,1,Auto Loan,2687923.99,60,1905068.91,53758.48,90,1,4606.99,,EQUIFAX,,2.69,,,10753.27,287.15,9,39548.79,27-12-2024,Debit,Net Banking,501921.43,EUR
CUST100028,ACC900028,Recurring Deposit,14-06-2021,Closed,F,58,Telangana,687713,SME,Self-Employed,,3104670.13,1891158.62,6,Expired,,Y,,,N,Pune FC Road,,692,0,1,,Home Loan,2976353.52,120,640038.47,59527.07,0,0,0,751,,,,,,8957.19,1168.96,88,34333.65,13-09-2018,Interest,Mobile App,105433.22,INR
CUST100029,ACC900029,Fixed Deposit,14-11-2021,Inactive,F,36,Karnataka,772464,,,,1804427.13,962116.37,1,Verified,N,,,Y,N,Mumbai Central,,479,0,0,0,Business Loan,3536489.18,48,1085841.8,70729.78,0,0,0,,EQUIFAX,Medium,,6.67,,11997.01,1619.94,12,639.8,25-07-2022,EMI,IMPS,318383.28,EUR
CUST100030,ACC900030,Checking,07-04-2019,,Other,47,Rajasthan,479358,SME,Self-Employed,,,686320.13,5,Expired,Y,,,Y,,Ahmedabad SG Highway,,560,,0,0,Personal Loan,955176.14,120,522571.45,19103.52,0,0,0,788,EXPERIAN,,,,318690.63,3383.26,898.46,,19857.02,21-05-2021,Transfer,ATM,312563.2,INR
CUST100031,ACC900031,Recurring Deposit,08-01-2024,Active,F,72,Karnataka,860242,SME,Retired,,746432.14,187966.44,3,Expired,Y,Y,N,N,Y,Pune FC Road,,429,,,0,Education Loan,707618.23,,452679.36,14152.36,30,0,3766.91,523,CIBIL,Very High,,,,1847.66,263.22,89,-19856.7,18-04-2023,Transfer,ATM,209928.56,INR
CUST100032,ACC900032,Checking,24-04-2020,Active,M,20,Delhi,988283,SME,Business Owner,,2923158.44,1441861.9,7,,N,Y,N,Y,N,Pune FC Road,,195,,0,0,Personal Loan,3648029.03,60,1099199.56,72960.58,,,0,628,EQUIFAX,Very High,,,392927.1,4721.05,1915.06,84,33390.42,20-08-2024,Penalty,Mobile App,324028.11,EUR
CUST100033,ACC900033,Current,25-03-2022,Inactive,F,20,Rajasthan,868367,Corporate,Self-Employed,,1111327.87,1159225.8,4,Expired,N,N,,,,Ahmedabad SG Highway,RM11,500,,1,1,Auto Loan,1506088.43,48,1451289.31,30121.77,120,1,1120.85,509,EXPERIAN,High,,,,344.55,1396.27,99,30146.47,07-12-2020,Interest,NEFT,454784.56,INR
CUST100034,ACC900034,Recurring Deposit,29-08-2018,,M,,Maharashtra,497687,SME,,,4860992.46,802919.4,2,,,Y,N,,Y,Mumbai Central,,652,1,0,0,,,,,,0,0,0,,EQUIFAX,Medium,,,,3599.07,679.04,81,,20-12-2023,Credit,RTGS,8491.64,EUR
CUST100035,ACC900035,Checking,05-12-2018,Active,,59,Gujarat,812711,,Retired,,2789783.28,26201694.76,3,,N,N,Y,N,,Kolkata West,,302,0,1,0,,,,,,,,0,347,EQUIFAX,High,,,243990.42,6507.21,1522.12,72,13809.59,28-04-2020,Penalty,Mobile App,402230.04,INR
CUST100036,ACC900036,Savings,03-12-2018,Closed,Other,63,Gujarat,782661,SME,Self-Employed,,3597786.36,10735.33,8,Verified,,N,N,N,N,Chennai East,,711,0,1,0,Auto Loan,552207.65,120,104266.32,11044.15,,,0,632,CIBIL,High,4.31,,,14162.96,1188.38,49,60902.47,21-09-2020,Penalty,Mobile App,186640.92,GBP
CUST100037,ACC900037,Fixed Deposit,10-07-2021,Closed,F,38,Tamil Nadu,146448,Corporate,,,3896200.28,1529695.43,3,Pending,Y,Y,,,N,Ahmedabad SG Highway,RM49,440,0,0,1,,,,,,90,1,3559.09,877,EXPERIAN,Medium,,8.16,,1199.58,835.31,70,77838.56,01-12-2022,Penalty,UPI,35695.41,INR
CUST100038,ACC900038,Savings,08-02-2019,Closed,Other,65,Delhi,662968,,Self-Employed,,2392071.66,1159132.3,7,,Y,N,,Y,,Kolkata West,,468,1,0,0,Home Loan,2542318.56,24,486956.95,50846.37,30,0,3098.85,511,EQUIFAX,Medium,3.66,,,6221.39,,56,26444.57,17-04-2019,Transfer,ATM,313144.56,INR
CUST100039,ACC900039,Current,28-06-2023,,M,38,West Bengal,388204,SME,Self-Employed,,3078960.13,1744169.53,6,,N,Y,Y,,Y,Chennai East,,468,1,,0,,,,,,30,0,2782.4,386,EQUIFAX,High,,,,9750.74,957.97,39,14822.98,10-09-2022,Interest,Mobile App,194517.11,INR
CUST100040,ACC900040,Recurring Deposit,24-09-2023,Closed,M,35,Tamil Nadu,239136,HNI,Student,,2865259.12,876403.54,1,Pending,Y,N,Y,N,,Pune FC Road,RM10,692,,0,1,,,,,,0,0,0,333,EQUIFAX,Medium,,,,7764.66,1972.24,104,36209.04,28-08-2020,Penalty,Branch,300199.39,INR
CUST100041,ACC900041,Fixed Deposit,06-08-2019,Frozen,M,58,Telangana,489906,Corporate,Business Owner,,-830802.98,1576300.74,8,Expired,,N,Y,N,Y,Bangalore MG Road,RM4,716,1,0,0,,,,,,60,0,4626.96,799,CIBIL,,,8.58,,616791.2,,108,59489.08,07-01-2022,Interest,Net Banking,205379.97,GBP
CUST100042,ACC900042,Fixed Deposit,09-01-2019,Closed,F,31,,297810,SME,Student,,556745.09,,2,Rejected,,Y,,N,Y,Chennai East,,245,0,1,0,Auto Loan,4062879.65,36,1971567.21,81257.59,0,0,0,676,EXPERIAN,Medium,,8.01,,9296.23,614.98,104,49179.51,26-04-2024,Interest,ATM,332275.15,INR
CUST100043,ACC900043,Fixed Deposit,07-04-2019,Active,F,56,Maharashtra,877722,Retail,Business Owner,,2859081.71,1935277.63,3,Verified,Y,N,Y,N,,Bangalore MG Road,,,0,0,0,Business Loan,2063467.42,,1789524.92,41269.35,0,0,0,,CIBIL,,,6.56,,9723.91,135.27,101,40631.79,29-08-2022,Penalty,RTGS,201956.1,USD
CUST100044,ACC900044,Savings,03-11-2019,Closed,,51,Delhi,108356,HNI,Retired,,1012445.44,552494.68,1,Expired,Y,N,N,N,N,Ahmedabad SG Highway,RM13,311,,,0,Home Loan,1712379.61,60,1156948.94,34247.59,120,1,86262.97,356,EXPERIAN,Medium,3.62,,,3730.71,1589.12,32,68809.85,16-09-2023,Credit,ATM,,INR
CUST100045,ACC900045,Fixed Deposit,17-02-2022,Inactive,M,67,Telangana,661957,SME,Self-Employed,,3820293.47,287200.63,1,,Y,Y,Y,N,N,Delhi North,,474,0,0,0,Business Loan,1831365.21,84,191883.43,36627.3,30,0,1587.8,842,,Low,,7.65,,2119.4,1913.55,7,59390.7,30-10-2023,Penalty,RTGS,458900.33,INR
CUST100046,ACC900046,Savings,06-01-2019,Inactive,F,37,Rajasthan,393366,Retail,Business Owner,,1173622.3,1407700.42,1,Verified,,N,N,N,,Chennai East,,658,0,0,0,Home Loan,3568988.73,12,3263375.84,71379.77,180,1,4517,773,EXPERIAN,Low,7.12,,,6551.49,754.28,7,10495.25,11-12-2018,Credit,UPI,-5070.02,GBP
CUST100047,ACC900047,Recurring Deposit,21-03-2018,Active,,40,West Bengal,120896,,Self-Employed,,2920314.22,972855.68,6,Pending,Y,N,Y,Y,Y,Chennai East,,628,1,1,0,Auto Loan,,60,,,0,0,0,783,EXPERIAN,High,,,,10653.03,293.77,12,54282,18-08-2018,Interest,Branch,417122.24,INR
CUST100048,ACC900048,Checking,27-10-2021,Active,F,69,Telangana,213282,Retail,Student,,476620.28,284480.58,4,Rejected,N,Y,Y,,Y,,,429,0,0,0,Auto Loan,5017099.57,120,2947565.11,100341.99,0,0,0,747,EQUIFAX,Medium,,,480483.06,3525.05,1807.64,71,17429.5,10-06-2021,Debit,UPI,,INR
CUST100049,ACC900049,Fixed Deposit,13-07-2023,Active,,42,Delhi,794178,HNI,Retired,,4207436.63,1509220.18,4,,Y,Y,N,Y,N,Chennai East,RM13,,1,,0,,,,,,0,0,0,626,CIBIL,Low,,6.64,,8389.81,1267.81,21,-6216.69,17-01-2019,Interest,NEFT,502714.23,GBP
CUST100050,ACC900050,Current,02-12-2018,Active,,37,Karnataka,862422,,Student,,2392379.46,1267352,3,,,N,Y,,Y,Mumbai Central,,406,0,0,0,Education Loan,1834072.48,,597855.5,36681.45,0,0,0,399,EQUIFAX,,,,,14883.54,324.06,52,45790.43,11-09-2022,Interest,IMPS,422277.48,INR
CUST100051,ACC900051,Current,30-10-2023,Active,,18,Telangana,640299,SME,Business Owner,,727151.17,1118964.1,4,Expired,Y,N,,N,,Bangalore MG Road,,518,0,,0,Home Loan,2774635.85,84,2384266.25,55492.72,,,0,338,EQUIFAX,Low,,,,4702.59,648.47,79,3239.33,31-08-2020,Penalty,ATM,234629.98,EUR
CUST100052,ACC900052,Checking,18-11-2023,,M,,Delhi,,SME,Business Owner,,4203798.48,2346968.79,1,Pending,N,,,,N,Kolkata West,,623,0,,0,Personal Loan,1406909.48,24,954217.82,28138.19,120,1,2086.97,785,EQUIFAX,,,,461261.14,233.01,619.64,114,58678.22,03-05-2022,Debit,ATM,414728.82,USD
CUST100053,ACC900053,Current,19-03-2019,Closed,,35,Gujarat,447411,SME,,,4423843.56,1722320.74,3,,Y,N,Y,,N,Kolkata West,,474,0,0,1,,,,,,0,0,0,713,EXPERIAN,High,,,,4585.25,1510.22,83,79148.2,10-05-2022,Interest,ATM,343084.7,INR
CUST100054,ACC900054,Fixed Deposit,08-08-2018,Closed,F,57,Maharashtra,360909,HNI,Self-Employed,,2362721.9,1349724.25,8,Expired,Y,N,,Y,Y,Ahmedabad SG Highway,RM45,105,,1,0,,,,,,0,0,0,505,,,,5.52,,6515.72,,114,11257.57,28-11-2018,Transfer,IMPS,319797.44,INR
CUST100055,ACC900055,Recurring Deposit,08-08-2024,Frozen,Other,70,Delhi,922880,SME,Retired,,1654182.91,1239224.69,5,Verified,N,Y,,,,Mumbai Central,,204,,0,0,Personal Loan,1721945.33,48,426429.24,34438.91,0,0,0,434,CIBIL,Very High,,,,10753.94,17.87,21,28091.35,13-11-2020,Interest,ATM,504978.19,INR
CUST100056,ACC900056,Recurring Deposit,06-04-2020,Frozen,Other,36,Gujarat,385037,Corporate,Business Owner,,359122.07,1773479.01,2,Expired,N,N,Y,Y,N,Mumbai Central,RM45,664,0,0,1,,,,,,0,0,0,887,EXPERIAN,Very High,,,,247.71,687.24,99,56526.01,04-08-2020,Transfer,IMPS,8842876.62,INR
CUST100057,ACC900057,Savings,27-06-2019,Frozen,F,72,,522866,HNI,,,678719.24,1150772.11,7,Rejected,N,N,Y,,Y,Delhi North,RM6,586,1,0,0,,,,,,60,0,4078.28,433,,Very High,6.7,,,8044.3,1331.69,52,3796.73,20-11-2023,Penalty,Branch,444802.81,INR
CUST100058,ACC900058,Savings,04-08-2023,,,49,Rajasthan,,,Business Owner,,678595.67,848.09,7,Verified,N,,,,Y,Pune FC Road,,599,,,0,Business Loan,3225796.37,,2797858.62,64515.93,0,0,0,639,EQUIFAX,Medium,4.79,,,11282.56,856.91,14,59829.28,10-04-2021,Penalty,NEFT,53210.13,INR
CUST100059,ACC900059,Recurring Deposit,27-12-2019,Active,F,64,,,,Business Owner,,686339.79,638788.4,7,Verified,Y,Y,,N,Y,Hyderabad Banjara Hills,,691,0,1,1,Business Loan,4479977.58,84,3991695,89599.55,90,1,291.11,824,EQUIFAX,Very High,,,,12532.51,203.42,119,15891.04,15-11-2021,Penalty,Mobile App,325204.75,INR
CUST100060,ACC900060,Recurring Deposit,12-05-2022,Closed,F,68,Gujarat,331942,SME,Business Owner,,129220193.1,848854.94,6,Verified,,Y,N,,,Bangalore MG Road,,300,0,0,0,Business Loan,306928.88,,252285.88,6138.58,60,0,365.33,859,EXPERIAN,Medium,,,,12026.54,605.33,22,15141.67,26-03-2022,EMI,ATM,134893.82,INR
CUST100061,ACC900061,Recurring Deposit,13-12-2023,,,70,Gujarat,660814,,Self-Employed,,713928.35,1251796.86,2,Verified,,N,N,N,Y,Pune FC Road,,599,1,,0,Home Loan,3571237.04,24,1495276.03,71424.74,180,1,366.69,683,,Very High,,,,432.94,142.86,114,24720.1,13-01-2024,Penalty,ATM,33727.52,INR
CUST100062,ACC900062,Savings,05-01-2022,Frozen,M,68,Karnataka,259797,HNI,Business Owner,,3236077.16,727331.54,1,,Y,N,N,N,N,Kolkata West,RM21,320,0,0,0,Personal Loan,2661335.18,60,2481311.36,53226.7,60,0,1738.29,311,CIBIL,Low,5.72,,,1160.19,412.66,73,42223.64,09-11-2021,EMI,Branch,436632.98,USD
CUST100063,ACC900063,Checking,22-11-2022,Inactive,Other,26,Delhi,345386,,Retired,,4349094.83,591470.98,6,Pending,N,Y,Y,N,Y,Bangalore MG Road,,369,0,,1,Business Loan,470648.1,48,145918.53,9412.96,0,0,0,819,,,,,344972.74,9262.21,932.49,27,46422.44,18-04-2023,Transfer,Mobile App,198068.87,INR
CUST100064,ACC900064,Fixed Deposit,06-02-2023,Active,M,,Maharashtra,863336,Retail,Business Owner,,686594.32,551657.81,8,Rejected,,N,,,,Kolkata West,,621,0,0,0,Business Loan,898291.1,24,504049.54,17965.82,180,1,2472.7,653,,Very High,,7.36,,9494.39,246.43,0,35355.25,24-02-2021,Debit,Branch,95566.67,INR
CUST100065,ACC900065,Fixed Deposit,30-11-2019,,F,56,West Bengal,,Corporate,Retired,,3882483.43,1349048.4,7,,N,,,N,N,Pune FC Road,RM37,7,0,0,,Auto Loan,4416635.44,120,1832522.8,88332.71,180,1,2809.89,453,EXPERIAN,Low,,8.75,,7174.76,1663.5,78,72017.52,17-01-2019,Penalty,IMPS,67388.51,INR
CUST100066,ACC900066,Checking,17-07-2021,Inactive,,27,Rajasthan,311505,SME,Student,,3438469.5,828392.06,1,Pending,,,Y,Y,,Delhi North,,,1,1,0,,,,,,90,1,3176.29,723,EXPERIAN,High,,,206768.3,12490.48,174,71,20133.14,19-06-2022,Penalty,Mobile App,61319.18,USD
CUST100067,ACC900067,Recurring Deposit,26-11-2019,Closed,F,,Maharashtra,376142,,Student,,3199313.66,561605.12,7,Expired,N,N,N,,,Jaipur Vaishali,,689,0,0,1,Education Loan,3021015.84,24,2722631.41,60420.32,180,1,130.84,656,EQUIFAX,High,,,,12106.28,925.66,24,72614.02,26-07-2022,Interest,Net Banking,37907.78,INR
CUST100068,ACC900068,Savings,21-03-2024,Closed,F,40,Karnataka,375617,Retail,Self-Employed,,4691387.39,1366236.34,8,,N,,Y,N,N,Kolkata West,,627,0,0,0,Personal Loan,1184117.7,48,326321.03,23682.35,0,0,0,422,,,5.01,,,5772.36,1945.22,97,66618.46,11-06-2024,EMI,UPI,91619.54,GBP
CUST100069,ACC900069,Current,24-01-2020,,,44,Maharashtra,468145,Corporate,Business Owner,,1930118.91,1164295.52,1,Rejected,N,,,N,N,Hyderabad Banjara Hills,RM37,551,0,1,0,,,,,,0,0,0,541,,,,,,1529.92,488.05,102,,23-09-2022,Debit,IMPS,498627.9,INR
CUST100070,ACC900070,Current,25-12-2021,Inactive,Other,49,Tamil Nadu,508783,SME,Retired,,4372646.53,1221603.09,1,,N,,Y,Y,N,,,290,,0,0,,,,,,60,0,-232.53,885,CIBIL,Medium,,,,11425.82,1354.71,43,25746.49,15-10-2024,Transfer,RTGS,463332.25,INR
CUST100071,ACC900071,Checking,22-06-2019,Frozen,M,19,Karnataka,879015,SME,Salaried,Employer_177,3319254.47,956437.34,7,,Y,N,,Y,,Ahmedabad SG Highway,,70,1,1,0,Auto Loan,2889318.94,36,1783275.81,57786.38,,,0,846,EQUIFAX,Very High,,,303990.41,2891.41,507.09,29,34608.72,28-05-2021,Credit,ATM,252187.56,EUR
CUST100072,ACC900072,Checking,01-04-2021,Inactive,M,57,Telangana,799080,HNI,Salaried,Employer_32,1445114.48,1863807.62,8,Rejected,N,N,,N,Y,Bangalore MG Road,RM8,332,,0,0,Personal Loan,4680701.22,,3243532.48,93614.02,120,1,1541.36,730,,Very High,,,15696186.74,12146.51,927.88,59,27753.13,18-08-2018,EMI,UPI,34683.71,INR
CUST100073,ACC900073,Checking,04-02-2021,Closed,M,68,Maharashtra,481760,SME,Student,,14462765.78,938576.26,6,Expired,,,N,,Y,Jaipur Vaishali,,674,0,0,0,Home Loan,1304997.94,84,1177595.6,26099.96,0,0,0,457,EXPERIAN,Medium,,,381099.91,13133.92,302.71,40,62501.14,28-03-2022,Penalty,NEFT,67353.47,GBP
