Customer_id,Account_id,Account_type,Account_open_date,Account_status,Gender,Age,State,Customer_segment,Employment_status,Annual_income_INR,Account_balance_INR,Kyc_status,Nominee_added,Mobile_banking_enabled,Net_banking_enabled,Credit_card_linked,Demat_account,Last_login_days_ago,Is_dormant,Churn_flag,Fraud_flag,Loan_type,Loan_amount_INR,Loan_tenure_months,Outstanding_principal_INR,Emi_amount_INR,Days_past_due,Is_npa,Penalty_amount_INR,Credit_score,Risk_rating,Monthly_interest_income_INR,Monthly_service_charges_INR,Num_transactions_last_month,Avg_transaction_value_INR,Last_transaction_date,Last_transaction_type,Last_transaction_channel,Last_transaction_amount_INR,Transaction_currency
CUST100369,ACC900369,Current,21/09/2019,Inactive,Male,48,Karnataka,SME,Retired,-154273.86,1130202.21,Verified,Y,N,N,N,N,305,0,0,0,No Loan,0,0,0,0,0,1,0,555,Low,3806.59,195.48,109,724174.41,01/08/2024,Debit,Mobile App,12116138.21,INR
CUST100328,ACC900328,Current,21/02/2021,Inactive,Male,47,West Bengal,HNI,Student,-50199.76,-276511.27,Pending,Y,Y,N,Y,N,410,1,1,0,Home Loan,1887055.62,0,1013195.94,37741.11,0,0,0,798,High,14258.52,985.49,67,60885.36,26/10/2018,Interest,UPI,430623.19,GBP
CUST100308,ACC900308,Current,25/11/2021,Inactive,Female,62,Karnataka,Corporate,Retired,188725.72,383730.28,Pending,Y,Y,N,N,N,144,0,1,0,No Loan,0,0,0,0,0,1,0,446,Medium,6044.62,704.56,98,41888.5,20/11/2021,Penalty,NEFT,326478.26,INR
CUST100431,ACC900431,Recurring Deposit,05/05/2021,Frozen,Female,57,Rajasthan,SME,Salaried,195313.67,1603761.58,Rejected,N,N,Y,Y,N,265,0,0,0,Auto Loan,4465724.72,84,931448.58,89314.49,30,0,1253.28,606.9468085,Low,583.79,109.11,31,7134.51,15/07/2024,Interest,IMPS,284477.77,INR
CUST100437,ACC900437,Recurring Deposit,02/11/2021,Closed,Male,57,Delhi,SME,Business Owner,218331.86,1185645.49,Verified,Y,N,N,N,N,478,0,0,0,Education Loan,0,36,0,0,60,0,4273.05,433,Medium,8409.43,1751.67,19,9920.51,03/05/2024,Credit,IMPS,430277.7,INR
CUST100351,ACC900351,Fixed Deposit,25/12/2020,Closed,Male,55,Karnataka,Corporate,Retired,222155.03,244211.48,Expired,N,N,N,Y,Y,415,0,0,0,Personal Loan,3096306.7,60,1233876.77,61926.13,120,1,0,882,High,10987.36,571.41,14,4158456.85,25/12/2023,Credit,RTGS,65603.63,INR
CUST100312,ACC900312,Savings,15/05/2019,Inactive,Male,55,Delhi,Retail,Retired,231049.47,1672879.19,Pending,Y,N,N,N,N,342,0,0,0,No Loan,0,0,0,0,0,0,0,549,High,5834.15,1394.16,88,68494.82,19/05/2019,Transfer,ATM,160647.74,INR
CUST100077,ACC900077,Savings,22/09/2020,Closed,Male,73,Maharashtra,SME,Business Owner,236624.35,982293.575,Verified,N,N,N,Y,Y,513,0,1,0,Personal Loan,3730301.88,60,2217171.99,74606.04,0,0,0,839,Medium,8725.97,1974.67,36,60353.76,04/02/2018,EMI,Net Banking,343854.14,EUR
CUST100363,ACC900363,Recurring Deposit,11/07/2020,Frozen,Female,62,Tamil Nadu,Corporate,Self-Employed,237522.5,209788.77,Pending,N,N,N,Y,Y,269,0,0,1,Personal Loan,552953.38,84,258354.3,11059.07,0,0,0,527,Low,5089.46,1590.73,39,75446.68,09/11/2018,Credit,UPI,147429.33,INR
CUST100009,ACC900009,Current,23/12/2023,Inactive,Male,22,Telangana,Corporate,Business Owner,240747.24,901292.52,Expired,Y,N,N,Y,N,719,0,1,0,Education Loan,3634202.66,60,2328252.28,72684.05,120,1,2368.13,574,Very High,7596.06,791.75,11,70305.17,04/11/2024,Transfer,RTGS,13987.48,USD
CUST100182,ACC900182,Savings,02/02/2024,Closed,Other,40,Rajasthan,SME,Self-Employed,268037.49,1136535.24,Verified,Y,N,N,Y,N,220,0,0,0,No Loan,0,0,0,0,0,1,0,386,Low,10726.09,1929.78,81,36234.52,03/12/2024,Penalty,Branch,391415.07,EUR
CUST100147,ACC900147,Current,27/07/2022,Active,Female,50,Karnataka,SME,Retired,293485.24,36987798.3,Verified,N,Y,N,Y,Y,471,1,0,0,No Loan,0,0,0,0,0,1,0,395,Medium,8202.73,29.31,83,64406.27,16/10/2023,EMI,NEFT,387212.05,INR
CUST100114,ACC900114,Savings,27/09/2023,Inactive,Male,39,Rajasthan,SME,Business Owner,294062.4,507600.1,Pending,N,N,N,Y,N,130,0,0,0,Education Loan,4718240.25,84,1456639.55,94364.81,0,0,0,886,Low,1024.25,894.67,30,28958.78,04/06/2024,Penalty,Mobile App,181438.03,INR
CUST100307,ACC900307,Savings,30/04/2019,Frozen,Male,44,West Bengal,Retail,Self-Employed,320746.45,711331.25,Pending,Y,N,N,Y,Y,140,0,0,0,Auto Loan,4814370.69,36,2911341.15,96287.41,30,0,1979.9,732,Very High,9506.72,58.68,120,29215.84,18/08/2021,Interest,NEFT,287872.86,GBP
CUST100495,ACC900495,Current,07/10/2022,Active,Male,35,Karnataka,HNI,Business Owner,326749.39,1676548.36,Pending,Y,N,N,Y,N,702,0,0,0,Business Loan,226188.76,0,73731.62,4523.78,0,0,0,859,Very High,9391.02,407.61,18,6514.69,07/03/2018,Interest,UPI,188530.58,GBP
CUST100164,ACC900164,Recurring Deposit,16/05/2023,Frozen,Female,20,Delhi,SME,Salaried,356878.14,893517.03,Verified,Y,N,N,Y,Y,365,0,0,0,Personal Loan,10017104.11,48,5651034.89,200342.08,0,0,0,353,Very High,-1839.59,12452.54,55,42370.8,26/11/2024,Transfer,NEFT,92619.57,USD
CUST100056,ACC900056,Recurring Deposit,06/04/2020,Frozen,Other,36,Gujarat,Corporate,Business Owner,359122.07,1773479.01,Expired,N,N,Y,Y,N,664,0,0,1,No Loan,0,0,0,0,0,0,0,887,Very High,247.71,687.24,99,56526.01,04/08/2020,Transfer,IMPS,8842876.62,INR
CUST100356,ACC900356,Recurring Deposit,13/11/2018,Closed,Other,63,Tamil Nadu,HNI,Retired,359159.44,982293.575,Rejected,Y,N,N,Y,Y,297,0,0,1,Auto Loan,2918295.52,120,2151664.64,58365.91,0,0,0,563,Medium,4768.78,321.97,20,52008.63,26/03/2021,Debit,NEFT,253050.11,INR
CUST100419,ACC900419,Checking,15/10/2023,Inactive,Male,47,West Bengal,Corporate,Retired,378895.52,1779499.32,Expired,Y,N,Y,Y,Y,457,1,0,1,No Loan,0,0,0,0,0,0,0,788,Very High,13473.73,1882.72,51,3438.73,08/12/2018,EMI,NEFT,190331.22,INR
CUST100421,ACC900421,Savings,29/11/2023,Inactive,Female,41,Rajasthan,HNI,Retired,381702.63,869983.7,Expired,Y,N,N,Y,N,263,0,1,1,No Loan,0,0,0,0,0,1,0,719,Low,10301.79,983.21,51,25997.97,06/01/2021,Interest,UPI,160103.73,INR
CUST100231,ACC900231,Fixed Deposit,17/01/2019,Active,Male,39,Karnataka,SME,Business Owner,383051.88,961462.09,Verified,N,N,N,Y,Y,460,0,0,0,Personal Loan,2146323.22,84,1591245.45,42926.46,120,1,2987.55,813,Very High,9418.87,1829.21,87,44664.41,13/11/2024,EMI,Branch,367152.39,INR
CUST100099,ACC900099,Savings,15/11/2018,Active,Male,66,Gujarat,HNI,Retired,396212.28,18823013.31,Pending,N,N,Y,Y,Y,507,0,1,0,Auto Loan,251302.68,24,186586.69,5026.05,0,0,0,659,High,13780.18,1420.49,95,73336.74,13/08/2023,Interest,Branch,287388.72,INR
CUST100412,ACC900412,Checking,29/06/2023,Inactive,Male,42,West Bengal,SME,Retired,407925.98,301055.73,Rejected,N,N,N,Y,N,194,1,0,0,Personal Loan,1268255.64,60,554356.3,25365.11,0,0,0,850,Medium,10900.64,1107.25,47,55599.52,15/07/2018,Debit,IMPS,410794.01,INR
CUST100441,ACC900441,Current,26/10/2021,Closed,Female,71,Tamil Nadu,Corporate,Business Owner,420027.85,199183.25,Expired,N,Y,Y,Y,N,36,0,0,0,Education Loan,0,84,0,0,0,0,0,769,Very High,9330.98,310.32,44,-3109.71,15/10/2020,Transfer,Mobile App,253050.11,INR
CUST100280,ACC900280,Current,23/04/2021,Active,Female,61,Maharashtra,SME,Retired,425593.76,47453.72,Expired,Y,N,N,Y,N,413,0,1,0,Personal Loan,1572537.61,24,1111673.18,31450.75,0,0,0,621,High,14722.39,1403.26,60.27004219,58079.99,01/08/2021,Transfer,Net Banking,103975.05,EUR
CUST100172,ACC900172,Current,02/01/2021,Inactive,Male,72,Maharashtra,Retail,Retired,461793.94,631888.48,Verified,Y,Y,N,N,N,704,0,0,0,Education Loan,58960724.75,48,22488738.7,1179214.5,90,1,2015.03,470,Very High,12862.62,573.06,78,10984.69,28/03/2018,Credit,RTGS,384490.53,INR
CUST100484,ACC900484,Current,13/04/2022,Inactive,Female,24,Tamil Nadu,HNI,Student,464450.23,595186.3,Verified,N,N,N,Y,N,483,0,0,0,Education Loan,1133544.2,84,1047717.28,22670.88,120,1,1049.77,872,Medium,9539.59,1105.98,60.27004219,45508.54,27/10/2021,Debit,Branch,160319.38,INR
CUST100260,ACC900260,Savings,14/01/2019,Inactive,Other,35,Gujarat,SME,Salaried,471897.05,1105176.43,Verified,Y,N,N,Y,N,681,0,0,0,No Loan,0,0,0,0,0,0,0,417,Low,11094.91,1357.84,19,9767.18,01/03/2023,EMI,RTGS,361871.25,INR
CUST100119,ACC900119,Recurring Deposit,04/03/2020,Closed,Female,61,Rajasthan,SME,Salaried,473506.49,505483.7,Pending,Y,N,N,Y,Y,484,0,1,0,Business Loan,3785227.76,12,3581830.66,75704.56,30,0,-423.81,764,Very High,3021.2,53.17,120,70691.17,25/07/2022,Credit,UPI,335407.12,INR
CUST100048,ACC900048,Checking,27/10/2021,Active,Female,69,Telangana,Retail,Student,476620.28,284480.58,Rejected,N,Y,Y,Y,Y,429,0,0,0,Auto Loan,5017099.57,120,2947565.11,100341.99,0,0,0,747,Medium,3525.05,1807.64,71,17429.5,10/06/2021,Debit,UPI,253050.11,INR
CUST100354,ACC900354,Checking,30/03/2018,Inactive,Male,62,Maharashtra,SME,Salaried,481092.77,1563851.95,Verified,N,N,N,Y,N,35,0,0,0,Personal Loan,4603038.91,36,0,92060.78,120,1,377.4,628,High,10493.02,872.17,88,10749.83,18/12/2022,EMI,NEFT,272001.92,INR
CUST100277,ACC900277,Current,29/07/2023,Active,Male,19,Telangana,Retail,Retired,506087.93,1877983.63,Verified,N,Y,N,Y,N,139,0,0,0,Education Loan,879866.04,0,864613.11,17597.32,36.06451613,0,0,586,Low,1739.56,366.94,66,12979.45,05/01/2019,EMI,Mobile App,36490.25,INR
CUST100422,ACC900422,Checking,03/01/2021,Closed,Male,68,Telangana,SME,Retired,534202.39,615693.94,Expired,Y,N,N,Y,Y,539,0,0,0,Business Loan,3081422.63,12,1832205.89,61628.45,0,0,0,606.9468085,Medium,155727.47,1208.42,107,7105.06,28/09/2019,Transfer,Mobile App,74254.22,INR
CUST100042,ACC900042,Fixed Deposit,09/01/2019,Closed,Female,31,Rajasthan,SME,Student,556745.09,982293.575,Rejected,Y,Y,N,N,Y,245,0,1,0,Auto Loan,4062879.65,36,1971567.21,81257.59,0,0,0,676,Medium,9296.23,614.98,104,49179.51,26/04/2024,Interest,ATM,332275.15,INR
CUST100402,ACC900402,Checking,06/06/2020,Frozen,Male,47,Gujarat,SME,Retired,586091.53,1552066.26,Rejected,Y,N,Y,N,N,223,0,1,0,Auto Loan,1826275.61,0,396192.69,36525.51,0,0,0,764,Very High,8194.4,553.85,56,59908.11,15/08/2023,Debit,RTGS,417080.56,INR
CUST100174,ACC900174,Savings,16/04/2024,Inactive,Female,49,Karnataka,Retail,Retired,604098.85,1074333.82,Verified,Y,N,N,N,Y,380,0,0,0,Home Loan,3776107.17,84,177923067.2,75522.14,36.06451613,0,0,305,Very High,1980.64,227.22,101,44402.84,11/08/2021,Penalty,IMPS,247339.45,INR
CUST100477,ACC900477,Savings,07/06/2020,Frozen,Female,53,West Bengal,Corporate,Student,616678.71,853624.37,Expired,Y,Y,Y,N,N,515,0,0,0,Home Loan,5063814.48,24,4587431,101276.29,0,0,0,876,Very High,7715.14,1627.42,101,24244.71,04/04/2019,Penalty,Branch,105766.35,USD
CUST100481,ACC900481,Savings,06/02/2018,Inactive,Female,72,Tamil Nadu,Corporate,Salaried,635888,266108.5,Verified,N,Y,Y,Y,N,726,0,0,0,Personal Loan,4887109.55,60,3393176.2,97742.19,120,1,1341.34,512,Low,10836.64,967.125,84,76746.57,22/01/2023,Interest,ATM,253050.11,INR
CUST100088,ACC900088,Current,13/01/2023,Closed,Male,51,Rajasthan,Retail,Student,639805.14,1714233.64,Verified,Y,N,Y,N,N,708,0,0,0,Auto Loan,1639470.78,120,785700.31,32789.42,36.06451613,0,0,832,Low,11029.94,270.2,1,40787.46,05/02/2019,Penalty,Net Banking,218193.46,USD
CUST100318,ACC900318,Recurring Deposit,22/01/2024,Active,Other,20,Karnataka,Retail,Salaried,662933.08,1990833.42,Verified,Y,N,Y,N,N,120,0,0,1,Home Loan,929200.79,60,697313.7,18584.02,30,0,3728.01,738,Very High,253029.47,1537.82,48,70970.36,12/02/2023,Credit,UPI,263837.22,INR
CUST100058,ACC900058,Savings,04/08/2023,Inactive,Male,49,Rajasthan,SME,Business Owner,678595.67,848.09,Verified,N,N,N,Y,Y,599,0,0,0,Business Loan,3225796.37,0,2797858.62,64515.93,0,0,0,639,Medium,11282.56,856.91,14,59829.28,10/04/2021,Penalty,NEFT,53210.13,INR
CUST100057,ACC900057,Savings,27/06/2019,Frozen,Female,72,Rajasthan,HNI,Retired,678719.24,1150772.11,Rejected,N,N,Y,Y,Y,586,1,0,0,No Loan,0,0,0,0,0,0,0,433,Very High,8044.3,1331.69,52,3796.73,20/11/2023,Penalty,Branch,444802.81,INR
CUST100184,ACC900184,Checking,18/03/2022,Inactive,Male,56,Rajasthan,SME,Self-Employed,679305.4,1102785.95,Pending,Y,N,N,Y,Y,669,0,0,0,No Loan,0,0,0,0,0,1,0,660,High,1552.2,797.14,35,62698.97,25/07/2021,Debit,RTGS,427992.34,INR
CUST100081,ACC900081,Recurring Deposit,07/10/2024,Frozen,Other,23,Delhi,SME,Retired,680968.06,580492.56,Verified,Y,Y,Y,Y,N,413,0,1,0,Business Loan,3929543.59,84,3433870.08,78590.87,60,0,3058.16,369,High,7812.46,259.94,17,55781.13,19/11/2023,Penalty,Branch,5229778.96,INR
CUST100229,ACC900229,Current,15/10/2019,Active,Male,42,Rajasthan,Retail,Student,680973.79,312435.43,Verified,Y,N,N,Y,Y,346,0,1,0,No Loan,0,0,0,0,0,0,0,302,Medium,1721.97,1029.49,37,55450.61,31/05/2024,Credit,Net Banking,79386.25,INR
CUST100303,ACC900303,Recurring Deposit,28/11/2023,Inactive,Male,50,Tamil Nadu,Retail,Student,682855.72,1666572.55,Pending,Y,N,N,Y,Y,495,1,0,0,No Loan,0,0,0,0,0,0,0,363,High,12854.95,1079.39,95,42781.98,30/01/2019,Transfer,ATM,305813.81,USD
CUST100261,ACC900261,Recurring Deposit,01/03/2019,Inactive,Female,36,Delhi,Retail,Retired,683462.1,1317140.71,Pending,Y,Y,N,Y,N,284,0,0,0,Auto Loan,4231573.96,36,927392.57,84631.48,36.06451613,0,0,675,Medium,8197.08,1577.97,8,65544.2,08/09/2024,Debit,NEFT,402235.86,INR
CUST100473,ACC900473,Recurring Deposit,17/01/2023,Inactive,Male,36,Rajasthan,Corporate,Student,685220.74,-709521.67,Verified,Y,N,N,Y,N,48,0,1,0,Education Loan,3174128.41,0,972753.36,63482.57,60,0,3013.02,310,High,267.53,499.35,118,61211.3,28/04/2020,Penalty,Mobile App,93388.33,USD
CUST100059,ACC900059,Recurring Deposit,27/12/2019,Active,Female,64,Rajasthan,SME,Business Owner,686339.79,638788.4,Verified,Y,Y,N,N,Y,691,0,1,1,Business Loan,4479977.58,84,3991695,89599.55,90,1,291.11,824,Very High,12532.51,203.42,119,15891.04,15/11/2021,Penalty,Mobile App,325204.75,INR
CUST100064,ACC900064,Fixed Deposit,06/02/2023,Active,Male,47,Maharashtra,Retail,Business Owner,686594.32,551657.81,Rejected,Y,N,N,Y,N,621,0,0,0,Business Loan,898291.1,24,504049.54,17965.82,180,1,2472.7,653,Very High,9494.39,246.43,0,35355.25,24/02/2021,Debit,Branch,95566.67,INR
CUST100108,ACC900108,Fixed Deposit,31/12/2021,Frozen,Female,47,Delhi,HNI,Business Owner,696788.29,684432.02,Verified,Y,N,N,N,Y,245,0,0,0,No Loan,0,0,0,0,0,0,0,579,Low,4042.69,87.28,73,-13616.18,22/01/2019,Credit,NEFT,136836.45,EUR
CUST100110,ACC900110,Current,09/11/2020,Active,Male,50,Tamil Nadu,SME,Retired,705803,349622.56,Pending,Y,Y,Y,Y,N,474,0,0,0,No Loan,0,0,0,0,0,0,0,765,Very High,9185.9,1333.46,117,-8400.19,28/11/2020,EMI,Net Banking,253050.11,INR
CUST100373,ACC900373,Savings,06/03/2019,Frozen,Male,40,Tamil Nadu,SME,Salaried,709083.87,1147368.16,Verified,Y,N,N,Y,Y,413,0,0,0,No Loan,0,0,0,0,0,0,0,537,Very High,1527.3,1175.53,117,64725.2,25/01/2021,Transfer,Net Banking,23570.86,EUR
CUST100061,ACC900061,Recurring Deposit,13/12/2023,Inactive,Male,70,Gujarat,SME,Self-Employed,713928.35,1251796.86,Verified,Y,N,N,N,Y,599,1,0,0,Home Loan,3571237.04,24,1495276.03,71424.74,180,1,366.69,683,Very High,432.94,142.86,114,24720.1,13/01/2024,Penalty,ATM,33727.52,INR
CUST100309,ACC900309,Fixed Deposit,07/12/2023,Frozen,Female,64,Maharashtra,HNI,Business Owner,717698.3,734942.14,Verified,N,N,Y,N,N,192,1,0,0,Business Loan,2405087.31,48,315759.75,48101.75,0,0,0,427,Very High,8521.48,638.93,100,55928.41,27/09/2024,EMI,Mobile App,468458.11,USD
CUST100085,ACC900085,Recurring Deposit,25/08/2020,Frozen,Female,22,Gujarat,Retail,Student,718270.69,192001.12,Verified,Y,N,Y,Y,N,558,0,1,0,Education Loan,406949.54,120,147196.91,8138.99,0,0,0,894,Very High,-5894.58,967.125,57,30367.43,20/07/2021,Interest,UPI,413816.52,GBP
CUST100387,ACC900387,Savings,07/02/2022,Active,Male,45,Gujarat,SME,Business Owner,721635.89,1676456.91,Rejected,Y,N,N,Y,N,207,1,0,0,No Loan,0,0,0,0,0,1,0,503,Medium,14950.24,1470.3,111,56646.49,06/01/2024,Transfer,Branch,95247.84,INR
CUST100051,ACC900051,Current,30/10/2023,Active,Male,18,Telangana,SME,Business Owner,727151.17,1118964.1,Expired,Y,N,N,N,N,518,0,0,0,Home Loan,2774635.85,84,2384266.25,55492.72,36.06451613,0,0,338,Low,4702.59,648.47,79,3239.33,31/08/2020,Penalty,ATM,234629.98,EUR
CUST100226,ACC900226,Savings,27/04/2020,Active,Male,41,Delhi,Retail,Business Owner,728231.39,982293.575,Expired,Y,N,N,Y,Y,413,0,1,0,Education Loan,0,120,0,0,0,0,0,443,High,4502.99,83.86,2,71583.74,21/03/2023,Debit,NEFT,221307.87,USD
CUST100269,ACC900269,Savings,02/09/2021,Closed,Other,38,Gujarat,SME,Retired,729176.41,78999360.58,Verified,N,N,N,Y,N,372,0,0,0,Education Loan,5186931.85,12,-271739.71,103738.64,0,0,0,850,High,4414.57,1771.99,31,74951.07,30/06/2024,Transfer,UPI,8192617.87,INR
CUST100386,ACC900386,Savings,14/11/2018,Frozen,Male,36,Rajasthan,Retail,Salaried,737200.48,1451292.27,Verified,Y,N,N,Y,N,446,0,0,0,Business Loan,4405500.52,12,1444640.76,88110.01,0,0,0,365,Very High,4646.09,1641.61,65,6146.47,10/11/2023,Transfer,Net Banking,252687.96,EUR
CUST100158,ACC900158,Current,28/09/2021,Active,Male,72,Rajasthan,Corporate,Retired,740019.93,43438.52,Verified,N,N,Y,Y,N,15,1,0,1,No Loan,0,0,0,0,0,0,0,331,High,6865.59,1659.08,95,15885.98,26/01/2021,Interest,IMPS,86235.14,EUR
CUST100100,ACC900100,Current,01/04/2024,Inactive,Female,38,Rajasthan,SME,Self-Employed,745189.53,620858.66,Verified,Y,Y,N,Y,Y,156,0,0,1,Business Loan,2051163.53,24,1842614.1,41023.27,60,0,2270.75,803,Very High,5649.19,1905.4,84,9903.03,21/02/2019,Credit,Mobile App,176465.86,INR
CUST100031,ACC900031,Recurring Deposit,08/01/2024,Active,Female,72,Karnataka,SME,Retired,746432.14,187966.44,Expired,Y,Y,N,N,Y,429,0,0,0,Education Loan,707618.23,0,452679.36,14152.36,30,0,3766.91,523,Very High,1847.66,263.22,89,-19856.7,18/04/2023,Transfer,ATM,209928.56,INR
CUST100375,ACC900375,Savings,08/08/2023,Inactive,Other,25,West Bengal,SME,Student,752163.36,491809.36,Verified,N,N,N,Y,N,188,0,1,1,Home Loan,444800.99,48,172588.22,8896.02,0,0,0,716,Very High,4500.31,15837.66,41,59520.15,04/11/2018,Debit,ATM,323519.78,INR
CUST100333,ACC900333,Checking,21/04/2021,Frozen,Female,28,Gujarat,Corporate,Student,778809.74,1185302.89,Pending,Y,N,N,N,N,234,1,0,0,Personal Loan,675061.42,60,114131.9,13501.23,60,0,669.42,702,Low,2850.81,204.19,15,18978.77,25/05/2023,Transfer,IMPS,281266.18,INR
CUST100195,ACC900195,Checking,17/02/2023,Frozen,Male,63,Tamil Nadu,SME,Student,785020.89,1158430.64,Verified,Y,N,Y,Y,N,661,0,0,0,Business Loan,990717.17,48,224431.8,19814.34,0,0,0,662,Medium,7360.06,-230,46,53705.43,13/10/2019,Penalty,Net Banking,83880.96,INR
CUST100008,ACC900008,Fixed Deposit,21/08/2024,Inactive,Male,23,West Bengal,Retail,Retired,796562.05,745384.12,Pending,N,N,Y,Y,N,579,0,0,0,No Loan,0,0,0,0,0,1,0,731,Very High,2664.52,239.71,95,81193.69,14/06/2018,Debit,ATM,253050.11,USD
CUST100143,ACC900143,Fixed Deposit,22/04/2022,Inactive,Male,18,Telangana,Retail,Self-Employed,798118.14,1932117.7,Verified,Y,N,N,Y,N,438,0,0,0,Home Loan,4903319.47,84,3898410.82,98066.39,36.06451613,0,0,467,Medium,3425.73,1699.9,31,43763.45,28/03/2018,Credit,ATM,282892.38,GBP
CUST100079,ACC900079,Checking,17/04/2018,Frozen,Other,67,Maharashtra,Retail,Retired,823716.48,1284689.9,Verified,N,N,Y,N,N,512,1,1,0,Education Loan,696508.55,12,600404.95,13930.17,0,0,0,367,Very High,547825.19,1482.86,62,68866.1,21/06/2018,Penalty,RTGS,160312.5,INR
CUST100007,ACC900007,Savings,02/04/2024,Inactive,Female,25,Maharashtra,SME,Business Owner,825255.69,1146609.88,Rejected,N,Y,N,N,N,130,1,0,0,Education Loan,3084101.93,0,2653691.56,61682.04,30,0,4661.85,583,Very High,11014.06,1757.26,9,19655.9,27/11/2018,Debit,Mobile App,118096.04,INR
CUST100452,ACC900452,Checking,20/04/2024,Closed,Other,67,West Bengal,Corporate,Business Owner,828592.3,94347.15,Rejected,N,Y,N,Y,N,706,0,0,0,No Loan,0,0,0,0,0,0,0,610,Very High,2110.54,1573.98,87,40007.46,29/10/2018,Transfer,ATM,332482.14,GBP
CUST100397,ACC900397,Recurring Deposit,21/01/2019,Closed,Other,32,Rajasthan,Retail,Retired,831257.35,1331137.34,Verified,Y,Y,N,Y,Y,700,1,0,0,Personal Loan,3890631.25,84,1033823.61,77812.62,0,0,0,544,Very High,8228.19,693.47,111,32081.66,18/12/2020,Interest,Mobile App,225939.72,INR
